id,CountryName,Lat,Long,Type,Remarks,year2009,year2010,year2011,year2012,year2015,empy
EU,Europeana,,,,,3996000,13950000,17222759,23102206,33454000,
AT,Austria,47.596,14.634,1,,0,0,282039,462314,600000,
BE,Belgium,50.681,4.658,1,,120000,150000,338089,338286,759000,
BG,Bulgaria,42.704,25.247,1,,0,0,38263,38326,267000,
CY,Cyprus,35.072,33.267,1,,0,0,53,6848,45000,
CZ,Czech Republic,49.786,15.337,1,,0,0,35490,39863,492000,
DK,Denmark,56.125,9.295,1,,0,0,67235,150345,453000,
EE,Estonia,58.760,25.598,1,,0,0,68943,68970,90000,
FI,Finland,62.171,24.033,1,,120000,150000,795810,800608,1035000,
FR,France,46.98,2.505,1,,2000000,2550000,2745833,3766553,4308000,
DE,Germany,51.376,10.415,1,,640000,2550000,3160416,3459630,5496000,
GR,Greece,39.374,21.951,1,,120000,150000,211532,190139,618000,
HU,Hungary,47.180,19.292,1,,0,0,115621,137406,417000,
IE,Ireland,53.177,-7.756,1,,0,900000,950554,953406,1236000,
IT,Italy,42.961,12.063,1,,120000,1200000,1946040,2239264,3705000,
LV,Latvia,56.901,25.610,1,,0,0,30576,30576,90000,
LT,Lithuania,55.283,23.906,1,,0,0,8824,38436,129000,
LU,Luxembourg,49.793,6.108,1,,0,0,47965,71062,66000,
MT,Malta,35.906,14.450,1,,0,0,56233,56233,73000,
NL,Netherlands,52.214,5.581,1,,320000,1200000,1208713,1657935,1571000,
PL,Poland,52.315,19.366,1,,0,450000,639099,1095160,1575000,
PT,Portugal,39.698,-8.495,1,,0,0,28808,33208,528000,
RO,Romania,45.841,24.859,1,,0,0,35852,39982,789000,
SK,Slovakia,48.741,19.278,1,,0,0,84858,85141,243000,
SI,Slovenia,46.156,14.708,1,,0,150000,244652,249398,318000,
ES,Spain,40.380,-3.963,1,,0,1350000,1647539,2069182,2676000,
SE,Sweden,59.595,14.884,1,,236000,1350000,1489488,2228281,1936000,
GB,United Kingdom,53.481,-1.596,1,,320000,900000,944234,1131987,3939000,
NO,Norway,60.861,8.6,2,,100000,900000,0,1557820,0,
CH,Switzerland,46.852,8.204,2,,0,0,0,105847,0,
